X_test,y_test
i dont understand when people say yea my first time smoking i didnt get high cause damn that fuckin sucks bruh i was retarded high,offensive
please no more like that snob elissa rich bitches suck,offensive
an ad for the haitian charity water is life mocks people who use firstworldproblems hashtag through juxtaposition,neutral
bitches be like im mixed wit italian chinese nd african american i be like bitch just cuz you ate ur8230,hate_speech
i kno u wanna roll w a bitch like me,offensive
not finna play with the bitches lmao,offensive
ima knock that pussy out like fight 128074128527128064,offensive
i have never seen such ignorant illiterate pieces of shit in my life bring in natl guard amp disperse this trash,hate_speech
one less little nigger that would grow up into a big nigger,hate_speech
ogs love too see a yung nicca come up,offensive
my favorite line so far has to be being blind must suck because you cant ever be an asshole made me ho8230,offensive
we hate the yankees though right i feel like im really good at hating them,hate_speech
sydney on this hoe asking dumb ass questions,offensive
niccas dnt kno bout da art of finessin,offensive
they slut for me they kill for me they steal for me and of course itll be yo cash and ill murder that bitch send the body back to yo ass,hate_speech
work is something adults do for money not borrow from money broke bitch,offensive
nah they would probably call you out for being the obsessed faggot you are also nice try though,offensive
sierra almost got caught with the ole hick 128514128514128514,neutral
so if a girl gets drunk and does some hoe shitits rape now,offensive
its levels to my bitch you cant fuck her nigga cause she like red bottom you cant afford her nigga she got benz you riding honda accord,hate_speech
good enough fag,hate_speech
your welcome my nig salute,offensive
damn joe buck just making it sound like greinke was trash when he played for the royals chill out joe,neutral
new york niggas quick to take off on a bitch in public boy lol,hate_speech
you little fag at least i will fuck a woman to have kids plus work to support them hipster homo,hate_speech
i look in the mirror and see a pussy ass bitch that sits down when he pees,offensive
lrt exactly announcing that you could be a piece of pussy for a couple hours then irrelevant after that nothing cute a8230,offensive
you the whitest person on my tl but you always so ghetto im sick of it,hate_speech
lol im out here curving bitches like im taken,offensive
if i see another bitch with a rolly bag ima diesel that bitch,offensive
lmfaoo somebody commented on my book saying i need medical attention bitch you the one reading it 128514,offensive
he was 17 not 16 amp he tried to beat up a much weaker creepy ass cracker that is why he is dead if zimmerman was a woman,offensive
these hos really be hatin on draya fine ass,offensive
movies dont matter as long as you do coon shit with coons youre a nigga,hate_speech
shut up chink,hate_speech
shut yo cracker jack buck teeth ass am a native and a nigga the best kind,offensive
its halloween everyday for dykes,offensive
yall hire colored folk only work half da day and throw da mail in da sewer if we aint done,hate_speech
to gt get past boot camp and go active a few years see what we really do daily you liberal pussy,hate_speech
some of you cunts owe me money,offensive
the rams really dont wanna be trash jeff fisher really bout it,neutral
cry about it you still cant even talk to me even though im supposedly the shady bitch that wont confront you lol,offensive
what these bitches want from a nigga like on some dmx shit,hate_speech
stay beautiful you bitch,offensive
pussy is a joke you can either get it or not get it,offensive
8220 that new 1d song diana is well written well done boyzzzzzz8221 bow down bitch,offensive
fuck you bitch lol,offensive
dis be one sexy bitch,offensive
y dont that bitch just shoot herself so sick of all those whores,hate_speech
if you a top notch bitch lemme here you holler,offensive
fuck this hoe ass professor she looks like an extra from halloween town,offensive
yasss bitch you did it,offensive
got hit on by a 70 yr old crippleamp thinking even if i were to accept your sexual advances there wouldnt be much you could do about it,offensive
on nigger day we honor nigger traditions by not working,hate_speech
no mom im not dramatic immature i just have fucking mental problems and youre a bitch and a cunt,hate_speech
ape fuck u broke ass racist,hate_speech
bitches love my laughlol,offensive
ann coulter admits on fox news that america has a negro problem crime tcot gettingreal,hate_speech
lol bitch,offensive
your acting like a spoiled little faggot have fun,hate_speech
let me put my kids up in ya mouth bitch ima turn this shit into a foster home,offensive
tranny,neutral
yo fat ugly ass couldnt even pull the ugly bitch in the school,hate_speech
ugly hoes be the loudest u need to duck off amp hide yourself frfr,offensive
youre standing on a slippery slope where its all too easy to more for libra,neutral
status report making a pit stop in canada to rape bitches,hate_speech
128584128584128584 rt gave her that move it lil nigger push smh,hate_speech
shoutout to your main bitch,offensive
faggot,hate_speech
128064127939 does sza have freckles on her pussy too,offensive
how the fuck do all these fucking faggot ass randos even find zoes ask account,hate_speech
long story lol but ive missed you faggot,offensive
shut up hoe ass nigga,offensive
thanks for ignoring my texts fag,hate_speech
he died for a reason rt i didnt follow you back cuz you fat bitch foh large hoe jesus aint pleased fam,offensive
faaaaggggottttt speaking with the blonde hair and confused youre a hypocrite cuz youre a faggot,hate_speech
im a dope ass nigga and these bitches hella sober,offensive
ill eat ya pussy like a savage but once you put ya nasty ass feet in my face my socks and drawers already on and im out,offensive
waka bitch bad fr,offensive
127942 rt every bitch n my passenger seat i dun fucked at least one time,offensive
yall bitches got to learn the difference between like and love,offensive
somebody tell these broke bitches stay in they place yunstand,offensive
my nig jus said aint nuttin worse den a fat loud hoetru fuckin story,hate_speech
when it rains its good go to the mall weather all the coons be at home,hate_speech
8220 i hate that hoe already 128514128128 128514128514128514 this shit cracks me up,hate_speech
ill be a bitch if i have to i dont like to be but fck with me and itll happen,offensive
good pussy change ya life 128514128557,offensive
top notch hoes get the most not the lesser,offensive
tell the hating niggah stfu,hate_speech
that ios8 gon get yall bitches fucced up trynna hide shit,offensive
omg i was coughing and saw wiggas tweet 58386583865838658386 the fuckkk lol talk about choking 5838558386583855838658386,offensive
ew queer white thirsty bitch,hate_speech
i wish faggots like would stop making music rack city was fucking awful get the fuck outta michigan,hate_speech
come wage with us fag,hate_speech
we use to sneak up on them cats back in wood hollow and ceelo ranch and toss they ass in the pool lil bitches,offensive
must have been a light skin hoe 8220 lmfao wtf she mean af 1285571285578220 he wasnt ready bruh rip,hate_speech
8220 that one friend who you greet with an insult8221 niggers,hate_speech
apaches 30 mm rounds turn jihadis into tomato soup,hate_speech
and you kno we the opposite of down bitch we up,offensive
that hoe is live though,offensive
okc nigguh,offensive
hey bitches ill be in ic tonight so dial the digits 128527,offensive
im such a bitch sometimes128553128553,offensive
the leftisthomosexual war on the catholic church kicked into high gear with the infiltration of the priesthood by boyraping fags,hate_speech
ray rice bitch,offensive
8220 lmao definitely not 1278148221128553128553128553 i was bout to say dont front bitch that shit a freeway,offensive
yea you dont live down here i guess we still got roofs that arent fixed from charlie and jeanne,neutral
aint nobody wearing those new westbrook jordans but mexicans amp trailer park trash white girls,hate_speech
your the one keeping me up faggot,offensive
bitch caught a body about a week ago fuck with us and we get to tweekin hoe run up on that niggah get to,offensive
fuc u say 8220 all these hoes look good on ig8221,offensive
i think you a fat bitch if i never see ya body on the tl and you got nothing but neck up avis,offensive
from freshman year to senior year this really my niggah started being brothers 4 years ago today its crazy,offensive
a monkey with a mustache by thomas kienzle,neutral
stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,hate_speech
belle bitch,offensive
from both k michelle and keyshia cole lol more bitter hurt bitch music on the horizon,offensive
the trash generation,neutral
steve found out you cant call taiquaniesha a stupid fuckin cunt like you can w becky,offensive
thanksgiving break bitches,offensive
holyspirit god still share his secrets amos 37 blessings jesus,neutral
idk bro 8220 a bunch of hoes really doesnt compare to having that one faithful girl bruh8221,offensive
someone tell this hoe to turn on lion king,offensive
anybody on the team has permission to fuck my bitch,offensive
mannn these hoes for everybody other words dont love these hoes especially at famu,offensive
its a lot of uncle tom ass niggas out here,hate_speech
you better and ima let that bitch slide right now just be on standby 128536128514,offensive
quote of last night telling me to find her a curved stick and shell make a crossbow to shoot a bird down,neutral
i forgot how white trash texarkana was well it is arkansas so 128514,hate_speech
eugene come watch me run circles round the rap game like my name was chip kelly in this bitch h8230,offensive
happy birthday to literally the craziest bitch i know im so happy im related to u 128540,offensive
my bitches not average spend money i got it ya girl want me she gon get fucked aint no askin,offensive
ive been tryin to tell niggas rt lesbian porn have the finest bitches,offensive
128514128514128514rt them 1st 48 charlotte goon niccas gon fkkk around and burn bank of america stadium down128293,hate_speech
its so shady when you bitches talk to guys w girlfriends thats so disrespectful to do to another girl,hate_speech
8220 oreo cookies128523 128525128539128553,neutral
good pussy 128166128049 comes with a smart ass mouth 128068128069 amp a crazy ass attitude 128530128175,offensive
8220 aint that a bitch8221,offensive
hoe,offensive
if she know yo name way before you meet her then dat bitch a eatta,offensive
we now know more about twinkies and how old the earth is than what happened in benghazi,neutral
nigger,offensive
dont stop now half breed im just starting to learn about what makes you a dumb ass,hate_speech
i dont have another face other than my bitch face 128139128128128148,offensive
breakup anthem 128680128680128680we threw shidd lemme just fall back pick up my side hoes cuz i stayed in contact 128526,offensive
soo what you putting on those crackers gregg,neutral
happy birthday queer,hate_speech
8220 these hoes gonna be stunting in florida with the pussy1285861285481285488221128514128514128514128514128514128128128080,offensive
rt if bitches are thirsty but you hungarian,offensive
those little isis faggots usually have bags over their heads anyway makes bullet placement interesting thru a scope,hate_speech
im just a young niggah tryna live my life long,offensive
people who grow their own vegetables are nothing but common peasant trash,hate_speech
hit the strip club and see some bitches i went to school with,offensive
westvirginia is full of white trash,hate_speech
i hope you get eye cancer bitch,hate_speech
wow do we have another faggot 8220 timatheracer wow do we have another cam hater lol8221gtgt dat dude is nice,hate_speech
8220 early bird gets the dick1277708221 128514128514128514,offensive
i was laughing at a joke about 911 big different bitch,offensive
i have no clothes that make me look like a redneck but i tried my best 128514,neutral
i hate trailer trash 128567,hate_speech
fag,hate_speech
oreos first you twist it then you aw crap it broke,offensive
these hoes be lying to all of us nigga i got news for the monogamous niggas yo bitch fucking anonymous niggas,hate_speech
i dont bend that way queer thanks for the offer its flattering,hate_speech
niccas be walking 4 flats to catch a nicca they kno in the club,offensive
nigger,hate_speech
1285141285571285571285571285571285571285578220 bitch for who gap rt im a model yall bitches cant tell me nothin,offensive
dmv nigguh dress funny as hell,offensive
this bitch compared dicks to pencils get sharpened like dont as you sharpen a pencil it becomes more useful,offensive
i tell a bitch go and get my name tatted on her spine so i can feel good when im hittin it from behind,offensive
8220 well he is at genos so he is the ultimate faggot8221 got to show this queer how to eat 8230,hate_speech
short bitches run sht,offensive
i need their workout plan 128525128553 third bitch had a fucking miracle,offensive
everyone calls me b they be like oh wassup b 128524 and i be like wassup my niggah,hate_speech
youre a faggot if you use the cover your face emoji,hate_speech
correction gtgtgtgtwhen the sky is yellow death is upon us no im scared,neutral
i wanna sleep but im outside with this nigger lol trying to hang him,hate_speech
up runnin these 2k fades with ma niggah tyreon 10433231043359 leo kod lmfaoo,offensive
typical coon activity,hate_speech
man my bitch is beautiful helen of troy,offensive
like hello my feet were clearly on the back of the desk bitch,offensive
hey fag i lt3 you,hate_speech
i wouldnt be proud that faze is in your family hes horrible for one and two hes ugly trailer trash fazeisgay,hate_speech
no bitch,offensive
hide ur bitches or else,offensive
what a hoe,offensive
karma is only a bitch to bitches,offensive
aint like them guys who wine and dine to keep they women my bitches only want two things thats to get high and kick it,offensive
okay lets fight you ginger faggot,hate_speech
8220 8220 where tf lyssa toilet mouth ass 1280641285308221 wassup8221you be twatching hoe 128514128514,offensive
niggas fight in the nba and theyre called ghetto amp dont know how to act but theres a brawl in nascar and nobody sa8230,offensive
bitch im up for sale every weekend 128553128557,offensive
rubs hands like bird man,neutral
my neighbors be sick when i wake um up to all this nigger music ctfu,hate_speech
when i call bitch you come,offensive
yea its very true bitch,offensive
because youre a weak bitch listen to cruel hand because the singer fell on face last night,offensive
8220 o u unfollowed me so i cant dm u so ill say it here youre a rude cunt lmao8221 you can dm me,hate_speech
i saw a great chimpout 2 summers ago a middle aged salvadoran and his 15 yr old son got wasted by 6 beaners at the metlife 8230,hate_speech
all i want is a 100 million dollars and a bad bitch,offensive
i hope you get eye cancer bitch,hate_speech
niggas wear wigs more than bitches these days,hate_speech
southcarolina is full of white trash,hate_speech
fuck you fag,hate_speech
maybe if you werent such a conceited bitch more people would like you,offensive
i knew you were a faggot though,hate_speech
niggas not stepping up they still tryna get back in the day kinda pussy lol,offensive
never lie never cry never die we gone die love my friends love my hoes yellow sluts call them gold,offensive
i went from smart car to a bitch with some smart lips,offensive
nigga ill take ya main hoe make her call her home girl and make em share the same dick,offensive
lowkey have no hoes and my life is an l,offensive
i miss her but i cant bitch i was the one who fucked up whatever,offensive
now all the hoes bout to post the saints lost but im still cute pics on the gram 128514128514128514,offensive
the monday has been a bitch,offensive
my nephew on adam rose i bet he aint got no hoes though,offensive
hey send me your songs i need to put them hoes on a cd and bang em when i ride around,offensive
that was so gay and i was tanning bitch juvie made me white,hate_speech
nigger mad,offensive
damn took this dumb spic nearly 2 days to respond wuz really good tho beaner,hate_speech
gay ass fags,hate_speech
loves austin webber such a boon for 6hcota,neutral
youre such a faggot,hate_speech
81614 mo let 8220kill some crackers kill their babies new black panthers hijack his ferguson presser,hate_speech
smh rt tyga shoulda knew blacc chyna was a hoe when his son crip walked out her pussy,hate_speech
behind every independent woman is a pack of hating hoes,offensive
no its wrong to try to change faggotsgt there is no therapy so tcot should understand and sympathize like they are retardsgt,hate_speech
thank you oneaday for making your vitamins the size of a fucking twinkie i love giving myself the heimlich maneuver every mo8230,offensive
it looks like hes wearing a trash bag,neutral
its never too late to tag a bitch,offensive
you mean bitch ass pussy,offensive
pussy,offensive
this shit sorry than a hoe,offensive
these chubby hoes are always on a diet,offensive
if you balling buy yo bitch somethin,offensive
some of yall females undercover hoes,offensive
i aint been to the fair since i was like 8 and i havent wanted to go since then either for some reason too many niggers for me,hate_speech
8220 if she got the chipotle plug cuff that hoe8221 twitterlessalex,offensive
i want it i love her gooks she is awesome where did you get it,neutral
seeing ugly bitches get pregnant lets me know that nigga swill fuck anything with a pussy alcohol is no longer the excuse you was pressed,hate_speech
how u gone bring ur side bitch to a game where you know ya gf friends at 128553128553128553128553 i swear,offensive
what a bitch pshh,offensive
if were dating dont be a sensitive bitch when i insult you i expect to be insulted back,offensive
bitch i got the flameeee,offensive
ebola great and i thought the panic from bird flu was bad i really aint got time for that,neutral
fake friends are no different than shadows they stick around during your brightest moments but disappear during your darkest ho8230,neutral
we had a pacer in the 70s amp i member loving when hair of the dog came on the quadraphonic stereo so i could say bitchlol,offensive
aw drake is do you sit in the corner and cry when you listen to him lmfao pussy dick rider how drakes cock taste faggot,hate_speech
he tweet like a bitch broke his heart,offensive
just beat the pussy up,offensive
i been slackin on the ice game i needa cop a watch so i can fuck me a instagram hoe amp press block,offensive
faggot,offensive
honestly if the most hoodiest ratchet bitch asked me to her prom im in dere,offensive
bitch u ugly then hoe,hate_speech
go get left in a hot car and die bitch,hate_speech
hoes always blaming hoes for being hoes,offensive
damn i just got called a hoe,offensive
ugh bad bitches picture coming soon 128514,offensive
shoutout to my macktown niccas,offensive
shine on them hoes let em know that you run shit,offensive
8220 if you aint bout that murder game pussy nigga shut up 8221252 gang 128514128514128514128514128514,hate_speech
i hate wen a bitch fart den be like uughh uuuu fartedno bitch clearly u did ill let a mfa kno wen im fin to,offensive
prolly not they sound like little bitches,offensive
some people are bitch ass niggas amp you should just stay far away from,offensive
hit a bitch its not like you can see the bruises,hate_speech
your dad is genuine happy guy because his kids arent niggers though 128532 jimmy is my nigga 5eva,hate_speech
and mad hoes you can ask beavis i get nothing butthead,offensive
good pussy takes your mind off the struggles and stresses of everyday life,offensive
ay cuh its hot af im finna go buy yo bitch some ice cream lol,offensive
free ballout lil bitch 128520128299,offensive
i dont follow you because everything about your company is white trash,hate_speech
cussed out by a fat redneck on the last day yolo 128514128514,hate_speech
take your queer ass dubstep out of here,offensive
post a picture of that pussy get 200 likes,offensive
my ex girlfriends telling people i sell pills and coke retweet if shes a bitch durant hs,offensive
this hoe wasnt loyal,offensive
i bet this hoe pussy juices look like spoiled chocolate milk 128514,offensive
heard that bitch gtta thang for them boss niggas,hate_speech
none of us went to these prestigious establishments so were clearly not as superior as these fucking retards,hate_speech
marcus is in this hoe schleeeeeeeeeeppppppp,offensive
lol jk i changed my number on them hos,offensive
just got shit on by a bird blessed,offensive
farra from teen mom has 2 sex tapes on pornhub lmao hoe ass,offensive
i hate seeing women carrying on about how they could fuck somebodys man ok trashy ass bitch,offensive
purple amp pinkfor the faggots who want to be protectedby the police instead of bearing arms if need be,hate_speech
o unpunished this has been the view for many thousands of years in civilised and uncivilised society,neutral
i just be fucking these bitches these niggas be cuffin these hoes,offensive
you aint nothin but a piece of cheese with out the corners in other words you aint never gone be a slice bitch 128514128514128514,offensive
bitch im 17 and i didnt follow you hahaha,offensive
8220 fuck east st john and all they fans familys amp friends8221 shut yo bitch ass up,offensive
porch monkey 4 life,hate_speech
i hate that faggot he so corny,hate_speech
8220 faggot8221 respect,hate_speech
ill slap a hoe,offensive
her pussy lips like heaven doors 128524,offensive
8220 true nothing shuts up libdog bitches who like to bark at anything 8221 thats calledpreaching the truth,offensive
only in cleveland are browns fans going to bitch about a blow out win this week believeland gobrowns,offensive
y dont that bitch just shoot herself so sick of all those whores,hate_speech
i dont likes dat magazine all da black folk look like dey one chromeasome away from da ape,hate_speech
wish i coulda said more to tonight good seeing you fag 128540,hate_speech
niggas wear wigs more than bitches these days,hate_speech
how about you wash my butthole out with your tongue you little faggot,hate_speech
a trashtalking athlete vs a violent congressman whos the real thug here via,offensive
do i have to repeat myself u white trash,hate_speech
yall bitches better stop the madness,offensive
only fuck niggas would wanna continue to mess with these messy ass bitches vs somebody who has been down for them all a8230,hate_speech
studies show that youre a faggot,hate_speech
inna di ghetto you alone lmaoo,neutral
we have a project that could lead into a military program but requires a full op mock up for testing,neutral
ho ho ho,neutral
random hoe so i heard me,offensive
128514128514128514 idgaf man fuck them hoes they nice to look at but they aint for me,offensive
my bitch 128540,offensive
that bitch called on thor for some strength 5838658386 rt wait,offensive
fresh out the gym but yet im bout to eat free birds,neutral
these hoes like niggas that spend money not talk bout it,offensive
mayweather is a pussy hes only winning cus he picks his fight and he picks the nobody fighters fightpacquiao,hate_speech
yo fuck skateboarding all yall some wood pushing faggots man ball is life,offensive
these bitches irri irri irriirri irri,offensive
females are more thirsty for attention than males are for pussy,offensive
so ur faggot teammate hits someone late like that and u say hes yapping and yelling u guys def 69 in the room,hate_speech
these hoes aint loyal rt naya rivera got married three months after breaking up with big sean,offensive
lmoa high as giraffe pussy,offensive
says the scrawny nigger,offensive
they call me chief weak bitch,offensive
youre a fucking nigger,hate_speech
a lot of these hoes be cheating on they nigga fucking other niggas yall boys better get yall a real bitch that ain8230,offensive
no bitch ass chick flick will ever be as sad as this movie,offensive
bitzy probably popped a percocet before she had these drinks with mellie she seems like that kind of of trill ol bitch scandalabc,offensive
segment finally did it never again watching teabagger propaganda in the morning on msnbc again on currenttv for me morningjoe,neutral
elizabeth is astupid hoe,hate_speech
i loved her as much and as long as i could ma niggah,offensive
white hoes still wear uggs in hot ass weather cuh,offensive
furrybah in my paypay voice rt the hoes are for everybody my nigga,hate_speech
she was the principle for a ghetto elementary school i doubt it but fingers crossed128527,offensive
its funny when u get a black female mad they start acting ghetto then a bitch,offensive
8220 where am i on this rating scale8221 depends you still wearing them colored contacts or naw,neutral
i remember the va tech band called us planet of the apes i was ready to flip,neutral
takin it straight to dirt why finger the pussy when i know i can put my dick in it,offensive
bomb your house then fuck your bitch all hail al qaeda,offensive
shout out to my mama cause she aint raise no hoe,offensive
them jigaboos aka homewreckers needs to get blocked,hate_speech
i wants to call bouts my vitaligro but i aint sho if you a doctor fo da colored folk,neutral
i come off like a total bitch but if i like you i will literally do anything for you,offensive
if yer gonna continue to be a contrarian bitch go die then ive no time for such trifling,hate_speech
god is a yankees fan farewellcaptain,neutral
8220 i aint gone lie amp old heads say they see it in me so i figured8221 nah you just retarded,offensive
good morning coons,hate_speech
its because you cant bend me you cant buy me and you cant make me into your nigger farrakhan thetime,hate_speech
we in this bitch finna get crunk eyebrows on double papp 128165128165,neutral
nigga a dyke rt rt melo garbage ass just now hitting 20k,offensive
bitch where u be fuck nigga,offensive
for guys bros over hoes for girls chicks over dicks for me its whoever has my back over the fake ass people any day,offensive
eating brownies and then going to the gym idk,neutral
8220 when your ex hits you with that i miss you bullshit lol bitch die8221 128128,offensive
