text,label
some men say they8217re afraid of having daughters bc they don8217t want them to turn into 8220hoes8221 or we,offensive
im sick of his shit man sit his bitch ass im fed up bro rt geno threw yet another pick smh,offensive
my dick is called abusive cat owner because it always beats the pussy up,offensive
i just wanna slit this mf throat,hate_speech
dont judge me monkey,neutral
haha not you just getting shit from everyone else when my second favorite team is the redlegs,offensive
bitches be fallin so inlove w niggass amp then he go get a new bitch amp they try go get a new nigga to try to forget about the 8230,hate_speech
all the great qbs fold under pressure gshit if u blitz peyton ass he gon gook out,offensive
sendin the link to wishy washy to my old hoes,offensive
hahaha it makes sense hoe p,offensive
im 60 n i hate elissa a fake ass cunt,offensive
every day i thank my nigga jesus for hot wings and my uncanny ability to tend to these bitches,offensive
someone recently told me that a local yokel was going to use my twitter account to damage me so yeah,neutral
pussy watch it nuh mi neva lov mon badmon,offensive
im not sure im a broke nig 128542,offensive
nope btw yous a hoe lol,offensive
fuck your store bitch,hate_speech
a real nigga gone teach his bitch the game not run it on her 128582128130128520,hate_speech
you win some and lose some long as you get it on you aint a bitch,offensive
lmao rt rt yes amp no rt is it ok to beat a bitch up over some tweets or nah,offensive
128557128557128557128530 rt at work imma real uncle tom128584,neutral
8220 you aint special niglet rt when im chilling wit greg ppl walk up to me to ask me to take pics8221hatin,hate_speech
thats what happens when you date a colored,hate_speech
dumb ass hoe,offensive
the leftisthomosexual war on the catholic church kicked into high gear with the infiltration of the priesthood by boyraping fags,hate_speech
i wanna be someones bitch ass boyfriend right now but that just me head playin games on ya boi,offensive
im soooooo tired of this dick dyke showing up on my fb feed real studs dont fucc niggas just be bisexual,hate_speech
hoe,offensive
what you see is what you get im a guy with a love of adventure and a need for speed charlie brown,neutral
dont you mean crowd not crows,neutral
only one problem theres a no pussies allowed sorry,hate_speech
come wage with us fag,hate_speech
this rain got yall women talking out your ass a nigga should spend 80 of his income on a bitch 128514128514 bruh get these hoes the fuck outta here,hate_speech
happy birthday faggot,hate_speech
when i die on flappy bird,neutral
nevertrustabitch never trust a bitch who has a fresh copy of master p album,offensive
nope not at all but im stuck in a house full of fucking niggers help me escape 128553,hate_speech
so was slavery prohibition and not letting women to vote segregation jim crow laws etc etc i can do this all day lol,neutral
128514128514128128128128128128128128bitch you outta line,offensive
paybacks a bitch and bitch youve been livin in debt with me,offensive
if you love her then hide yo bitch so youll keep shorty,offensive
dear spoiled suburban bitch,offensive
hope yall kno wen u eat pussy u one inch away from death,offensive
yall be giving the pooest bitches so much hype stop it,offensive
rise of the planet of the apes,neutral
my best friend says i dont need to be in love right now he thinks its too soon to love monkey,neutral
finger my throbbing pussy,offensive
that was my faggot rant for the night,hate_speech
juss got this hoe free so why not lop p,offensive
am ghetto,neutral
better play your part bitch dont be a smart bitch cuz i might have a change of heart,offensive
i cant ever eat roast beef anymore without thinkin bout dark skin twat thanks a lot twitterig,offensive
the south is full of white trash the midwest is full of white trash the west coast if full of white trash,hate_speech
oh no they drafted that gay ass that come out on tv well u welcome to redskins nation no queers just a lot of niggers,hate_speech
paybacks a bitch it really is,offensive
oh i forgot we lived in the ghettohoodrats,neutral
faggot,hate_speech
i can guarantee a few things youre white youve never been anywhere near a real ghetto you or a relative is a pig 100,hate_speech
ew queer white thirsty bitch,hate_speech
she got every niggah lookin like dam,hate_speech
when it come to bitches niggas will get dirty,offensive
says the old man i hope you can survive another 10 years you silly jigga boo monkey,hate_speech
cowboys trash againthe nfl is bike to normal,neutral
like a woman to tell you what she wants you to do without sounding like a bossy demanding bitchthe art to that is sexy,offensive
8220 cute text ey bitch come over for some pizza8221,offensive
did you say spray tan charlie crist switches back to republican,neutral
of all the lazy bitches i was the laziest today noregrets,offensive
fuck bitchesget money,offensive
maple room bitch sacto style,offensive
8220 that one friend who you greet with an insult8221 niggers,hate_speech
lol ive gotten into with retards on here who actually think i am my avi ive gotten called ugly black bitch like,offensive
pls stop gassing fat hoes,offensive
i hate the ghetto trash at the special school across the street from my building all of them will grow up to be criminals,hate_speech
the question alone 128553128514128514rt what city got the most bitches with gold teeth,offensive
youre all niggers,hate_speech
yuh bitch voz de mando at ok was the best mf friday yet,offensive
i like that your room isnt a big sloppy mess like most of these twitter hoes,offensive
i like bad bitches cause they like bad bitches too 128525128525128536 hay stunna,offensive
that son of a bitch moment when youre walking around the house with socks on and step on a random wet spot,offensive
video on the record charlie baker,neutral
get some money and stop playing that old trash,neutral
breaking japanese ace masahiro tanaka will sign with the yankees for seven years 155 million via fox sports,neutral
i need to chat with where dat nicca at lol,hate_speech
sitting at the bar at work watching walking dead and all these fucking wetbacks decide to come in amp turn on their spic music jesus christ,hate_speech
my teacher always says has a man ever abused his wife while using marijuana not unless she hides the oreo cookies then she deserves it,neutral
you look like little birds help you get dressed in the morning,neutral
if you kill all cops and cracker babies what next black states white states and latino states isnt that moving backwards,hate_speech
hoes not women like to be the center of attention,offensive
youre a bitch,offensive
beat the pussy in so well her shit still hurting from a week ago 128563,offensive
ok i just wanted to know bitch at 520 if youre not here im out,offensive
stevie j turned a hoe 128111into a housewife128129128141128142 and nikko turned a housewife128582 into a hoe1281111281111281319757 i swear this shit can happen,offensive
my grandpa hooked his friend up with some pussy in vegas praise,offensive
beat ya bitch pussy up every time i see her like a bully then send her outta town wit 4 cookies,offensive
if you like after romeo chances are i think youre a faggot,hate_speech
you a pussy dawg,offensive
i wants to call bouts my vitaligro but i aint sho if you a doctor fo da colored folk,neutral
all us beaners were pissed like robert when the jew ref stopped it,hate_speech
how now gungho,neutral
128514128514128514 got dhem hoes,offensive
hell naw he aint he the star of that team lol but im sure that white honkey called him a nigga,hate_speech
colorado lawmakers consider nation8217s 1st wind energy legislation to protect birds amp bats,neutral
128514128514128514rt them 1st 48 charlotte goon niccas gon fkkk around and burn bank of america stadium down128293,hate_speech
ladies you are not a hoe if you fucked on the first night dont let these lonely bitches lie to you,offensive
i will never date a female with another niggah name on her lol wtf,offensive
to gt get past boot camp and go active a few years see what we really do daily you liberal pussy,hate_speech
the trash generation,neutral
my hoes trippin lol,offensive
thank you charlie ff,neutral
i got no pic up lines i stay on my grind i tell a bitch all the time bitch get in my car i got my 64 ridin on dayton spokes,offensive
8220 im so dead 128128128128 why you hoe me idk i just felt like flaming you lol,offensive
why you gotta phone in your avi texting but you got negative bitches,offensive
8220 i want you to be pussy whipped8221 im yours,offensive
the way i fuck her you would think i love this bitch,offensive
nigga just had them crackers on a chase,hate_speech
must have been a light skin hoe 8220 lmfao wtf she mean af 1285571285578220 he wasnt ready bruh rip,hate_speech
i was eating amp my mom gon say damn calm down tf bitch i am calm,offensive
so says the one who fills an empty hole inside herself by worshiping a royal who 4 all u kno may be a raging snotty bitch,offensive
bitch youre white stfu with your shitty spanish,hate_speech
minus all the retarded poor bots,hate_speech
i dont bend that way queer thanks for the offer its flattering,hate_speech
tell them lie speakin lips they should try pleadin 5ths more often bitch and refer to me as your awesomeness,offensive
if you like bmth adtr ptv ymas sws atl omampm aa miw btf wcar mcr afi pe bvb wim bc ss cte nsn gd watic aa bfmv fob f8230,neutral
bitch you not coming,offensive
text me with plans nigs,offensive
this hoe 128293128293,offensive
they call me chief weak bitch,offensive
lets cripple the vanity industry how actually start liking who we are and how we look,neutral
pretty ass niggah,offensive
hennessey venom gt 128584 thats one sexy bitch,offensive
8220 bitch gotta work all hard to clean that shit without ripping her skin8221 lmaosjdusubejs,offensive
dropped a stack cause bitch im on song called dope download the mixtape here,offensive
i wasnt calling you a faggot but you are one lol,hate_speech
fag,hate_speech
call me a fag but i love when people turn their heads or look out of their cars when i drive by cause they head me slumpin bitches love it,offensive
fuck a closed casket bitch put me with the trees let me rot throw some seeds water me and give me leaves,offensive
that was my faggot rant for the night,hate_speech
defiantly going to see that new planet of the apes tonight,neutral
lassen cc the coach wants me i feel it youll get more my nig no doubt,hate_speech
i just wanna slit this mf throat,hate_speech
no comparison the beatles are a bunch of cunts but the band that matters the most is the faces imo stones second,offensive
you cant be ugly and a shitty fucking person pick a struggle bitch,offensive
good mernin faggots,hate_speech
8220 early bird gets the dick1277708221 128514128514128514,offensive
im so high high high that a bitch cant blow my high,offensive
i been fucked that hoe she a nobody,offensive
8220 when you live this gay you cant be afraid of two black dicks in your butt you fucking queer,hate_speech
128514 rt lmfao rt if you watching porn amp beating off amp yo homie text u amp it show his name in the banner youre a faggot,hate_speech
live lol whats wrong with these bitches man,offensive
like a flat tire he need a fix 8220 run up on em put the gun up on em ask a pussy nigga whats to ya bitch 8221,offensive
weazy bitch birdman jr,offensive
back in the g getting pregnant was a big deal now these bitches getting pregnant amp its like what else new,offensive
im xxx triple x rated bitch,offensive
heres how your suggestion plays out racist ha those niggers stopped callin each other nigga the end,hate_speech
the nations know who we are but we rather be real niggers amp bad bitches,hate_speech
niggas talk more than bitches these days,offensive
my nigga really tried to save his bitch lol,offensive
nigga wanna bitch about a party yall know my address knock at my door,hate_speech
lmao you stupid nigger,hate_speech
basic bitches amp lame niggas lt,offensive
you hoes steady coming for me 128514128514128514,offensive
hit the strip club and see some bitches i went to school with,offensive
its just not the same littledebbie cloud cake are not twinkies,neutral
you just caught this bitch cheatin while you at work shes with some dude tryin to get off fuck slittin her throat cut this bitchs head off,offensive
ate pussy for the first time today all i have to say is i think i may have a new favorite food michigan,offensive
first thing i do when i hit the lotto is buying two fat bitches and watching her eat both in one sitting,hate_speech
kill whitey,hate_speech
can faggots of honeybooboo imagine this internet world was created to trap them and feed them to allah like gazelles it stephenking,hate_speech
you other niggas a call up a bitch to fight a bitch naw not me im whomp that trick so she can feel where im coming from,hate_speech
only fuck niggas would wanna continue to mess with these messy ass bitches vs somebody who has been down for them all a8230,hate_speech
some negro amigo pulled a gun on nate and i a few weeks ago i was stoked128299128299128299,hate_speech
bitch breathes me could you not,offensive
im getting spanked in fantasy 128514128514 he beating my by 100 because of this damn new england game amp julian eldman trash,offensive
i dnt trust bitches who think they shud b on bad girls club,offensive
his hair so cute wit his sessy face but his ex bitch liked that picture to shit like fucc it,offensive
if only there was a medal for that we hate fags but we wont kill them medal thank u for the privilege to let fags live,hate_speech
gotta missed call from yoooo bitch,offensive
gerryshalloweenparty halloween was yesterday stupid nigger,hate_speech
im so sick of u niggers,hate_speech
nigger,hate_speech
from freshman year to senior year this really my niggah started being brothers 4 years ago today its crazy,offensive
you see me shining on yo bitch ass 12857012857110024127775128171,offensive
me then faggot,hate_speech
vin scully once called me a camel jockey liesaboutvinscully,hate_speech
when hoes talk shit about other hoes ill just leave this here,offensive
yall bitches need to sandos,offensive
so much hoes,offensive
do it pussy,offensive
you cant owe me shit ion trust niccas,hate_speech
nigger,hate_speech
you dont know what your talking about retarded faggot,hate_speech
if i see another bitch with a rolly bag ima diesel that bitch,offensive
i go to take the trash out and a darkskin nigga stole my damn garbage,hate_speech
8220 i cant stand no messy hoe822118419084190841908419 true story,offensive
literally retarded you were dropped on your head,offensive
happy birthday my little cotton picker,hate_speech
when you having a girls night and you cooking for ya bitches ctfu ghettogirls,offensive
why do you bitch about everything,offensive
because either way that makes you a bitch,offensive
funniest yt comment i ever received was niggers gonna nig shrugs lmao racist muthafucka caught me off guard,hate_speech
dont mind me im just over here tryin to teach ur bitch how to dougie,offensive
i dont live for you hoes man,offensive
jackies a retard blondeproblems at least i can make a grilled cheese,hate_speech
i love girls who arent afraid to encourage or compliment the next chick bitches hate so much now thats its refreshin8230,offensive
brandon phelps a hoe ass nigga and wen i see him ima smack him like da lil bitch he is 300,hate_speech
it gets me mad when a mexicans go against mexico like wtf support your team bitch,offensive
a knock on the door who could it be at this hour i shuffle down the hall who is it i ask its a bad bitch and a burrito the end,offensive
die in a car accident then faggot,hate_speech
ur still secretly lookng at tommy lees cock jesus christ 4getaboutit thats a ghetto dream,offensive
i never had any friends the entire time i lived in virginia no one was cool to me i hope those white trash southerners all die,hate_speech
sometimes a good hoe fire needs some rocephin too before itll go out,offensive
emers a bitch,offensive
8220 white kids favorite activities 1 calling people niggers on xbox 2fucking their pet 3 shooting up their school8221,hate_speech
that other shit for the birds get over yo self,offensive
dumpster rt gahbage rt chicks that smoke are trash no in between no debate,neutral
imma get my crew on dis fuckin fag 3hunnad real talk nigga turn up,offensive
she spelled faggots with an e youre so cool lol,hate_speech
waterproof lab coat in case i drown in the pussy swag,offensive
8220 a new breed of white girl she slammed that bitch 128527128514,offensive
dumb nigguh,offensive
rtin your own shit now pussy what a joke youd end up just like all the rest no show chicken shit mother fucker,hate_speech
i actually get on with erin and think shes really nice bit youre so two faced and bitch about her all the time nasty,offensive
if we date1281431008465039 get rid of ya exs 128694128694128694128694128694128694 ill get rid of my hoes 128131128131128131128131128131128131128131 we dont need no interference 128525128145128107128141128141128149128175,offensive
if you hate men so much why you trying to look like one stupid little cunt,offensive
i feel sorry for mexican and asian niggas they got the worse shaped bitches on earth,hate_speech
fuck outta here and go put some more trash ass ink on your faggot ass self pussy,hate_speech
thats why i aint cuffing until im grown af rt these hoes aint loyal,offensive
ferrari addiction bitch its a wonderful thing,offensive
my aunt said im handsome fuck you hoes,offensive
cant the yankees make some last weeks moves,neutral
your mother looks like a toughasnails birdi see where you got 12 of that from nice food too,neutral
gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,hate_speech
as always eli has the stupid hick hayseed look on his face giants fans kill yaselves its gonna be a8230,hate_speech
charlie sheen is a fucking boss,offensive
id never send my kids to private school because then they would never experience ghetto public school fights,neutral
8220 8220 stills get no pussy hes jus being rational8221 a fag,offensive
she was always a pathetic mutt desperately seeking attention amp a purpose no matter what jp writes that will never change,neutral
yeah its fuck that jigsawfaced bitch everyday b,offensive
even that bitch has to admit something isnt right with our socalledleader,offensive
oh im nasty for smoking cigarettes and youre nasty for not washing behind your ears everyday stupid little bitch,offensive
too many bitches is shady,offensive
its funny when u get a black female mad they start acting ghetto then a bitch,offensive
8220 just think if alex won some games8221 that sorry son of a bitch will never win us a game,offensive
faggot,hate_speech
once you hate someone everything they do is offensive look at this bitch eating those crackers like she own the damn place,offensive
it aint nothing to cut that bitch off 1007165039,offensive
that hoe was nipping,offensive
when kennies angry he talks like a ghetto black man and i really dont even think he notices hahahahahahaha im laughing 8230,hate_speech
it be 30 below zero and hoes still go out like its 90 degrees plus tax,offensive
get the fuck over yourself fag youre an undercover hooker and actually use weave cause youre balding you are not cute,offensive
would this faggot survive in tj,offensive
coming to the rescue of some retard licking dirty skidmarks on the internet you guys are fucktards,hate_speech
lean wit it rock wit it az niccas lol,offensive
i believe that you fuckin can punk nigga bitch128520128170,hate_speech
a yankee win makes any day better,neutral
i cant even find it in me to mock anymore this is scary this mass ignorance is terrifying rt yes alas i agree,neutral
no im not weezy bitch im wheezy from that chronic cough,offensive
nah she said you a fag,hate_speech
butler unchained review short version whitey sucks and a potentially positive film is simply antiwhite agitprop,offensive
norbit mad as a bitch lmfaooooooo 128514128514,offensive
this beat deserves hennessey a bad bitch amp a bag of weed the holy trinity,offensive
im back bitch,offensive
leotard not leopard zeeti hoes dumb 8220 8220 twitpic a selfie wearing a leotard8221,offensive
fat ass hoe holding up the machine,hate_speech
i just wanna be skinny amp fit sike thick bitches got it going on ass2fat thundathighs jellyrolls imstillsexy,offensive
i cant be in my twenties stressing over a bitch who playin games im straight lol,offensive
to a hood bitch gucci voice is euphoric,offensive
8220 128541 swear they emojis128553128514,offensive
youre a retard,hate_speech
cruising down the street in my 64 jockin the bitches slappin the hoes,offensive
i need a bitch 128533,offensive
holy fucking shit why is a game against a third string qb redskins team so gut wrenching,offensive
white trash warfare pt 3 128514128514128514,hate_speech
8220 leave all the bitchin to bitches8221,offensive
you know i stay on fuck a bitch shit but with a street nigga thats what you gonna get,offensive
southcarolina is full of white trash,hate_speech
nothing says fashion like a cunt hat,offensive
will you mention why being called nigger is wrongwitch i agree with amp bossy is wrongbut being called a pimp is still ok,hate_speech
128557128557 rt welp rt the prettier bitch usually loses lol this is science,offensive
webbers rt sz13 vnds restorers dream cracked midsole sole separation and fogged bubbles 150,neutral
dream job for a pedophile dressing up like mickey mouse and hugging kids all day,offensive
youre just another nigguh,hate_speech
im surprised you could read it with slits for eyes,hate_speech
johnny rebel if i could be a nigger for a day,hate_speech
from now on i will call all radical muslims niggers it is very fitting and it is racist i am racist against anyone who hates america,hate_speech
128073 rt dont like me have a 128186with the rest of the bitches waiting for me to give a fuck 128540128129,offensive
im obviously not talking about cod because that game is for queers,hate_speech
if you give that statement any thought at all you will realize it makes no sense at all please think abo8230,neutral
charlie is so adorable,neutral
none of my bitches can stay over,offensive
fresh out the gym but yet im bout to eat free birds,neutral
eat shit nigga bitch turd bag dick beetle,hate_speech
running dangerously low on cigarettes these bitches better last me till monday or tuesday,offensive
aw drake is do you sit in the corner and cry when you listen to him lmfao pussy dick rider how drakes cock taste faggot,hate_speech
dont dance iggy its trash just like your music,neutral
alcohol is liquid truth so if a girl is a hoe when she drinks shes naturally a hoe anyway,offensive
i never played halo too busy slaying bitches,offensive
twice divorced teabagger florida attorney general says marriage is reserved for stable enduring family units wtf,hate_speech
ur weird racist bitch,offensive
8220 moma said no pussy cats inside my dog house8221 thats what got bro nem locked inside the dog pound,neutral
bitch rt stop thinking ur entitled to politically correct responsesbitch,offensive
isnt it funny that the people who call me fat ugly a whore stupid a cunt a bitch etc are the same ones whining abo8230,offensive
im off whenever i feel like it im off til monday and you put in your two weeks flip them the bird mannn,neutral
boy yo bitch a lame dont nobody know her but you,offensive
8220 is hoe by association a real thing8221 yes,offensive
dont throw me the pussy let me come get it,offensive
rebelscience is using an actual woman as a genetic engineering lab for all natural clones or something faggot rome,hate_speech
i never knew a mother so heartless and such a bitch if it were my mother she would have been popped on foh,offensive
